lol2020-05-12 20:09:08,664:INFO:START
2020-05-12 20:09:11,160:INFO:Generated from row: 6 to 45 of varin<Worksheet "DI">
2020-05-12 20:09:11,163:INFO:Generated from row: 6 to 45 of codebodyin<Worksheet "DI">
2020-05-12 20:09:11,164:INFO:PLC_DI.awl created
2020-05-12 20:09:11,167:INFO:Generated from row: 6 to 45 of db_varin<Worksheet "DI">
2020-05-12 20:09:11,167:INFO:PLC_DI_DB.db created
2020-05-12 20:09:11,170:INFO:Generated from row: 6 to 45 of symbolin<Worksheet "DI">
2020-05-12 20:09:11,170:INFO:PLC_DI_Symbol.sdf created
2020-05-12 20:09:11,172:INFO:Generated from row: 6 to 45 of Intouchin<Worksheet "DI">
2020-05-12 20:09:11,173:INFO:IT_DI.csv created
2020-05-12 20:09:11,173:INFO:Generated DI files put in C:\Project\Python\slask\Generated DI
2020-05-12 20:09:11,175:INFO:Generated from row: 6 to 15 of varin<Worksheet "DO">
2020-05-12 20:09:11,177:INFO:Generated from row: 6 to 15 of codebodyin<Worksheet "DO">
2020-05-12 20:09:11,178:INFO:PLC_DO.awl created
2020-05-12 20:09:11,179:INFO:Generated from row: 6 to 15 of db_varin<Worksheet "DO">
2020-05-12 20:09:11,180:INFO:PLC_DO_DB.db created
2020-05-12 20:09:11,181:INFO:Generated from row: 6 to 15 of symbolin<Worksheet "DO">
2020-05-12 20:09:11,182:INFO:PLC_DO_Symbol.sdf created
2020-05-12 20:09:11,183:INFO:Generated from row: 6 to 15 of Intouchin<Worksheet "DO">
2020-05-12 20:09:11,184:INFO:IT_DO.csv created
2020-05-12 20:09:11,184:INFO:Generated DO files put in C:\Project\Python\slask\Generated DO
2020-05-12 20:09:11,188:INFO:Generated from row: 6 to 26 of codebodyin<Worksheet "Valves">
2020-05-12 20:09:11,188:INFO:PLC_Valves.awl created
2020-05-12 20:09:11,188:INFO:Generated Valve files put in C:\Project\Python\slask\Generated Valve
2020-05-12 20:09:11,188:INFO:STOP
2020-05-12 20:11:34,392:INFO:START
2020-05-12 20:11:35,643:INFO:Generated from row: 6 to 45 of varin<Worksheet "DI">
2020-05-12 20:11:35,646:INFO:Generated from row: 6 to 45 of codebodyin<Worksheet "DI">
2020-05-12 20:11:35,646:INFO:PLC_DI.awl created
2020-05-12 20:11:35,649:INFO:Generated from row: 6 to 45 of db_varin<Worksheet "DI">
2020-05-12 20:11:35,649:INFO:PLC_DI_DB.db created
2020-05-12 20:11:35,651:INFO:Generated from row: 6 to 45 of symbolin<Worksheet "DI">
2020-05-12 20:11:35,651:INFO:PLC_DI_Symbol.sdf created
2020-05-12 20:11:35,655:INFO:Generated from row: 6 to 45 of Intouchin<Worksheet "DI">
2020-05-12 20:11:35,655:INFO:IT_DI.csv created
2020-05-12 20:11:35,655:INFO:Generated DI files put in C:\Project\Python\slask\Generated DI
2020-05-12 20:11:35,656:INFO:Generated from row: 6 to 15 of varin<Worksheet "DO">
2020-05-12 20:11:35,658:INFO:Generated from row: 6 to 15 of codebodyin<Worksheet "DO">
2020-05-12 20:11:35,659:INFO:PLC_DO.awl created
2020-05-12 20:11:35,660:INFO:Generated from row: 6 to 15 of db_varin<Worksheet "DO">
2020-05-12 20:11:35,660:INFO:PLC_DO_DB.db created
2020-05-12 20:11:35,662:INFO:Generated from row: 6 to 15 of symbolin<Worksheet "DO">
2020-05-12 20:11:35,662:INFO:PLC_DO_Symbol.sdf created
2020-05-12 20:11:35,663:INFO:Generated from row: 6 to 15 of Intouchin<Worksheet "DO">
2020-05-12 20:11:35,664:INFO:IT_DO.csv created
2020-05-12 20:11:35,664:INFO:Generated DO files put in C:\Project\Python\slask\Generated DO
2020-05-12 20:11:35,667:INFO:Generated from row: 6 to 26 of codebodyin<Worksheet "Valves">
2020-05-12 20:11:35,667:INFO:PLC_Valves.awl created
2020-05-12 20:11:35,667:INFO:Generated Valve files put in C:\Project\Python\slask\Generated Valve
2020-05-12 20:11:35,667:INFO:STOP
2020-05-12 20:12:34,956:INFO:START
2020-05-12 20:12:36,203:INFO:Generated from row: 6 to 45 of varin<Worksheet "DI">
2020-05-12 20:12:36,207:INFO:Generated from row: 6 to 45 of codebodyin<Worksheet "DI">
2020-05-12 20:12:36,207:INFO:PLC_DI.awl created
2020-05-12 20:12:36,209:INFO:Generated from row: 6 to 45 of db_varin<Worksheet "DI">
2020-05-12 20:12:36,209:INFO:PLC_DI_DB.db created
2020-05-12 20:12:36,212:INFO:Generated from row: 6 to 45 of symbolin<Worksheet "DI">
2020-05-12 20:12:36,212:INFO:PLC_DI_Symbol.sdf created
2020-05-12 20:12:36,216:INFO:Generated from row: 6 to 45 of Intouchin<Worksheet "DI">
2020-05-12 20:12:36,216:INFO:IT_DI.csv created
2020-05-12 20:12:36,216:INFO:Generated DI files put in C:\Project\Python\slask\Generated DI
2020-05-12 20:12:36,218:INFO:Generated from row: 6 to 15 of varin<Worksheet "DO">
2020-05-12 20:12:36,219:INFO:Generated from row: 6 to 15 of codebodyin<Worksheet "DO">
2020-05-12 20:12:36,219:INFO:PLC_DO.awl created
2020-05-12 20:12:36,220:INFO:Generated from row: 6 to 15 of db_varin<Worksheet "DO">
2020-05-12 20:12:36,221:INFO:PLC_DO_DB.db created
2020-05-12 20:12:36,222:INFO:Generated from row: 6 to 15 of symbolin<Worksheet "DO">
2020-05-12 20:12:36,223:INFO:PLC_DO_Symbol.sdf created
2020-05-12 20:12:36,224:INFO:Generated from row: 6 to 15 of Intouchin<Worksheet "DO">
2020-05-12 20:12:36,224:INFO:IT_DO.csv created
2020-05-12 20:12:36,225:INFO:Generated DO files put in C:\Project\Python\slask\Generated DO
2020-05-12 20:12:36,228:INFO:Generated from row: 6 to 26 of codebodyin<Worksheet "Valves">
2020-05-12 20:12:36,228:INFO:PLC_Valves.awl created
2020-05-12 20:12:36,228:INFO:Generated Valve files put in C:\Project\Python\slask\Generated Valve
2020-05-12 20:12:36,228:INFO:STOP
2020-05-12 20:13:12,097:INFO:START
2020-05-12 20:13:13,351:INFO:Generated from row: 6 to 45 of varin<Worksheet "DI">
2020-05-12 20:13:13,354:INFO:Generated from row: 6 to 45 of codebodyin<Worksheet "DI">
2020-05-12 20:13:13,355:INFO:PLC_DI.awl created
2020-05-12 20:13:13,357:INFO:Generated from row: 6 to 45 of db_varin<Worksheet "DI">
2020-05-12 20:13:13,357:INFO:PLC_DI_DB.db created
2020-05-12 20:13:13,360:INFO:Generated from row: 6 to 45 of symbolin<Worksheet "DI">
2020-05-12 20:13:13,360:INFO:PLC_DI_Symbol.sdf created
2020-05-12 20:13:13,363:INFO:Generated from row: 6 to 45 of Intouchin<Worksheet "DI">
